,Postcode,Borough,Neighbourhood
0,M2L,North York,York Mills
1,M1V,Scarborough,"Agincourt North, Milliken"
2,M3K,North York,CFB Toronto
3,M5X,Downtown Toronto,"First Canadian Place, Underground city"
4,M4T,Central Toronto,Moore Park
5,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
6,M1X,Scarborough,Upper Rouge
7,M6J,West Toronto,"Little Portugal, Trinity"
8,M4G,East York,Leaside
9,M4A,North York,Victoria Village
10,M9C,Etobicoke,Markland Wood
11,M5S,Downtown Toronto,University of Toronto
12,M1R,Scarborough,"Maryvale, Wexford"
13,M2H,North York,Hillcrest Village
14,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
15,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
16,M6L,North York,Downsview
17,M8V,Etobicoke,New Toronto
18,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
19,M5A,Downtown Toronto,Harbourfront
20,M8W,Etobicoke,"Alderwood, Long Branch"
21,M4B,East York,"Woodbine Gardens, Parkview Hill"
22,M3C,North York,Flemingdon Park
23,M9M,North York,"Emery, Humberlea"
24,M4K,East Toronto,Riverdale
25,M1G,Scarborough,Woburn
26,M4N,Central Toronto,Lawrence Park
27,M3A,North York,Parkwoods
28,M5L,Downtown Toronto,Commerce Court
29,M6H,West Toronto,Dovercourt Village
30,M4C,East York,Woodbine Heights
31,M6S,West Toronto,"Runnymede, Swansea"
32,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
33,M5J,Downtown Toronto,"Toronto Islands, Union Station"
34,M8X,Etobicoke,The Kingsway
35,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
36,M2R,North York,Willowdale West
37,M4H,East York,Thorncliffe Park
38,M6K,West Toronto,"Exhibition Place, Parkdale Village"
39,M3H,North York,"Bathurst Manor, Wilson Heights"
40,M4W,Downtown Toronto,Rosedale
41,M5M,North York,Bedford Park
42,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
43,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
44,M1B,Scarborough,"Rouge, Malvern"
45,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
46,M1S,Scarborough,Agincourt
47,M5E,Downtown Toronto,Berczy Park
48,M9R,Etobicoke,Kingsview Village
49,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
50,M9N,York,Weston
51,M5C,Downtown Toronto,St. James Town
52,M3L,North York,Downsview West
53,M3J,North York,"Northwood Park, York University"
54,M6P,West Toronto,High Park
55,M5R,Central Toronto,"The Annex, Yorkville"
56,M7A,Downtown Toronto,Queen's Park
57,M2K,North York,Bayview Village
58,M1N,Scarborough,Birch Cliff
59,M4L,East Toronto,India Bazaar
60,M6A,North York,"Lawrence Heights, Lawrence Manor"
61,M9L,North York,Humber Summit
62,M4Y,Downtown Toronto,Church and Wellesley
63,M1K,Scarborough,"Ionview, Kennedy Park"
64,M4E,East Toronto,The Beaches
65,M6R,West Toronto,"Parkdale, Roncesvalles"
66,M1E,Scarborough,"Morningside, West Hill"
67,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
68,M8Z,Etobicoke,"Mimico NW, The Queensway West"
69,M4J,East York,East Toronto
70,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
71,M2J,North York,Henry Farm
72,M1T,Scarborough,Tam O'Shanter
73,M1J,Scarborough,Scarborough Village
74,M2M,North York,"Newtonbrook, Willowdale"
75,M5P,Central Toronto,Forest Hill North
76,M1M,Scarborough,"Cliffcrest, Cliffside"
